week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,log_prob
Arizona,Carolina,Oakland,Houston,New England,Seattle,Cincinnati,Denver,Kansas City,Baltimore,Detroit,Green Bay,Pittsburgh,Minnesota,Buffalo,San Diego,Indianapolis,-4.236952722003868
Seattle,Carolina,Oakland,Houston,New England,Arizona,Green Bay,Dallas,Kansas City,Baltimore,Pittsburgh,Miami,Cincinnati,Minnesota,Buffalo,San Diego,Indianapolis,-4.236961616139689
Seattle,Carolina,Oakland,Houston,New England,Green Bay,Cincinnati,Denver,NY Giants,Baltimore,Pittsburgh,Buffalo,Arizona,Minnesota,Kansas City,Chicago,Indianapolis,-4.2371799052991195
Seattle,Carolina,Oakland,Houston,New England,Arizona,Green Bay,Denver,Kansas City,Baltimore,Pittsburgh,Dallas,Cincinnati,Minnesota,Buffalo,San Diego,Indianapolis,-4.23721293510121
Seattle,Arizona,Oakland,Houston,New England,Buffalo,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Green Bay,Pittsburgh,Denver,Carolina,San Diego,Minnesota,-4.237370409782782
Seattle,Arizona,Oakland,Houston,New England,Buffalo,Cincinnati,Dallas,Kansas City,Pittsburgh,Indianapolis,Green Bay,Denver,Minnesota,Baltimore,Los Angeles,Carolina,-4.237441734783171
Philadelphia,Carolina,Seattle,Houston,New England,Arizona,Cincinnati,Dallas,Kansas City,Baltimore,Pittsburgh,Green Bay,Denver,Minnesota,Buffalo,San Diego,Indianapolis,-4.2374845414380085
Seattle,Arizona,Pittsburgh,Houston,New England,Buffalo,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Green Bay,Denver,Minnesota,Carolina,San Diego,NY Giants,-4.237527447368091
Arizona,Carolina,Oakland,Houston,New England,Seattle,Cincinnati,Green Bay,NY Giants,Baltimore,Pittsburgh,Buffalo,Denver,Minnesota,Kansas City,New Orleans,Indianapolis,-4.237533924441289
Seattle,Carolina,Pittsburgh,Houston,New England,Arizona,Cincinnati,Oakland,Kansas City,Baltimore,Indianapolis,Green Bay,Denver,Minnesota,Buffalo,San Diego,NY Giants,-4.2375996438551695
Seattle,Carolina,Oakland,Houston,New England,Arizona,Cincinnati,Denver,Kansas City,Baltimore,Pittsburgh,Green Bay,San Diego,Minnesota,Buffalo,Los Angeles,Indianapolis,-4.23768402384613
Seattle,Carolina,Oakland,Houston,New England,Buffalo,Cincinnati,Green Bay,Kansas City,Baltimore,Pittsburgh,NY Giants,Denver,Minnesota,Arizona,Los Angeles,Indianapolis,-4.237708211493379
Seattle,Carolina,Pittsburgh,Houston,New England,Green Bay,Cincinnati,Dallas,NY Giants,Baltimore,Indianapolis,Buffalo,Arizona,Denver,Kansas City,New Orleans,Minnesota,-4.2377525300697005
Arizona,Carolina,Oakland,Houston,New England,Seattle,Cincinnati,Dallas,Kansas City,Baltimore,Detroit,Green Bay,Pittsburgh,Minnesota,Buffalo,San Diego,Indianapolis,-4.23780809593442
Seattle,Carolina,Pittsburgh,Houston,New England,Green Bay,Cincinnati,Denver,Kansas City,Baltimore,Detroit,Miami,Arizona,Minnesota,Buffalo,Los Angeles,Indianapolis,-4.237936603379349
Seattle,Carolina,Oakland,Houston,Pittsburgh,Buffalo,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Green Bay,Denver,Minnesota,Arizona,New England,NY Giants,-4.237975981600606
Seattle,Carolina,Pittsburgh,Houston,New England,Buffalo,Cincinnati,Green Bay,Kansas City,Baltimore,Detroit,Miami,Denver,Minnesota,Arizona,San Diego,Indianapolis,-4.238033212174634
Seattle,Carolina,Oakland,Houston,New England,Green Bay,Cincinnati,Dallas,NY Giants,Baltimore,Pittsburgh,Buffalo,Arizona,Minnesota,Kansas City,Chicago,Indianapolis,-4.238035279229671
Seattle,Carolina,Oakland,Houston,New England,Arizona,Green Bay,Cincinnati,NY Giants,Baltimore,Indianapolis,Buffalo,Pittsburgh,Denver,Kansas City,Los Angeles,Minnesota,-4.2380850392762275
Seattle,Arizona,Oakland,Houston,New England,Buffalo,Cincinnati,Green Bay,Kansas City,Baltimore,Pittsburgh,Miami,Denver,Minnesota,Carolina,Los Angeles,Indianapolis,-4.238135685529851
Seattle,Arizona,Pittsburgh,Houston,New England,Buffalo,Cincinnati,Oakland,Kansas City,Baltimore,Detroit,Green Bay,Denver,Minnesota,Carolina,San Diego,Indianapolis,-4.238163654723859
Arizona,Carolina,NY Giants,Houston,New England,Seattle,Cincinnati,Green Bay,Kansas City,Baltimore,Pittsburgh,Miami,Denver,Minnesota,Buffalo,San Diego,Indianapolis,-4.238181694872226
Seattle,Arizona,Pittsburgh,Houston,New England,Buffalo,Cincinnati,Dallas,NY Giants,Baltimore,Kansas City,Green Bay,Denver,Minnesota,Carolina,San Diego,Indianapolis,-4.238202856307233
Seattle,Arizona,Miami,Houston,New England,Buffalo,Cincinnati,Dallas,Kansas City,Baltimore,Pittsburgh,Green Bay,Denver,Minnesota,Carolina,San Diego,Indianapolis,-4.238254098202444
Seattle,Carolina,Pittsburgh,Houston,New England,Arizona,Cincinnati,Oakland,NY Giants,Baltimore,Kansas City,Green Bay,Denver,Minnesota,Buffalo,San Diego,Indianapolis,-4.238275052794311
Seattle,Carolina,Miami,Houston,New England,Arizona,Cincinnati,Oakland,Kansas City,Baltimore,Pittsburgh,Green Bay,Denver,Minnesota,Buffalo,San Diego,Indianapolis,-4.2383262946895215
Arizona,Carolina,Seattle,Houston,New England,Green Bay,Cincinnati,Dallas,Kansas City,Pittsburgh,Detroit,Buffalo,Denver,Minnesota,Baltimore,San Diego,Indianapolis,-4.238481904360718
Seattle,Carolina,Oakland,Houston,New England,Arizona,Cincinnati,Dallas,Kansas City,Baltimore,Pittsburgh,Green Bay,San Diego,Minnesota,Buffalo,Los Angeles,Indianapolis,-4.238539397776682
Seattle,Carolina,NY Giants,Houston,New England,Arizona,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Green Bay,Pittsburgh,Denver,Buffalo,Los Angeles,Minnesota,-4.238601599900778
Seattle,Carolina,Pittsburgh,Houston,New England,Green Bay,Cincinnati,Dallas,Kansas City,Baltimore,Detroit,Miami,Arizona,Minnesota,Buffalo,Los Angeles,Indianapolis,-4.2387919773099005
Seattle,Carolina,Oakland,Houston,New England,Green Bay,Cincinnati,Dallas,Kansas City,Arizona,Indianapolis,Buffalo,Pittsburgh,Denver,Baltimore,San Diego,Minnesota,-4.23880703611822
Seattle,Carolina,NY Giants,Houston,New England,Buffalo,Cincinnati,Oakland,Kansas City,Arizona,Pittsburgh,Green Bay,Denver,Minnesota,Baltimore,Los Angeles,Indianapolis,-4.238899514264659
