week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,log_prob
Indianapolis,San Francisco,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Denver,Buffalo,Kansas City,New England,Miami,Minnesota,Dallas,New Orleans,Baltimore,Seattle,Tennessee,-4.497949273883835
Indianapolis,Green Bay,Cincinnati,LA Chargers,Tampa Bay,San Francisco,Denver,Philadelphia,Buffalo,LA Rams,New England,Miami,Minnesota,Dallas,Kansas City,Baltimore,Washington,Tennessee,-4.49795436339743
San Francisco,Denver,LA Chargers,Philadelphia,Tampa Bay,Indianapolis,Cincinnati,Tennessee,Green Bay,Kansas City,New England,Miami,LA Rams,Buffalo,New Orleans,Baltimore,Seattle,Minnesota,-4.4980003959593935
Indianapolis,LA Rams,LA Chargers,Cleveland,Tampa Bay,San Francisco,Cincinnati,Dallas,Philadelphia,Kansas City,New England,Miami,Green Bay,Buffalo,Denver,Baltimore,Detroit,Tennessee,-4.4980041672011835
New Orleans,LA Rams,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Dallas,Philadelphia,Kansas City,New England,Miami,Minnesota,Buffalo,Denver,Baltimore,Detroit,Tennessee,-4.4980137590439595
Denver,LA Rams,Cincinnati,LA Chargers,Tampa Bay,San Francisco,Las Vegas,Philadelphia,Buffalo,Kansas City,New England,Miami,Green Bay,Dallas,New Orleans,Baltimore,Indianapolis,Tennessee,-4.498038707089071
Indianapolis,LA Rams,LA Chargers,Cleveland,Tampa Bay,San Francisco,Cincinnati,Philadelphia,Green Bay,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Seattle,Tennessee,-4.498049822419723
San Francisco,Denver,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Dallas,Buffalo,Kansas City,NY Giants,Miami,Minnesota,LA Rams,New Orleans,Baltimore,Indianapolis,Tennessee,-4.498065423064225
San Francisco,LA Rams,LA Chargers,Philadelphia,Tampa Bay,Indianapolis,Denver,Dallas,Cincinnati,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Tennessee,Baltimore,Cleveland,-4.498109417324025
San Francisco,LA Rams,LA Chargers,Philadelphia,Tampa Bay,Indianapolis,Cincinnati,Denver,Buffalo,Kansas City,New England,Miami,Minnesota,Dallas,New Orleans,Baltimore,Seattle,Tennessee,-4.498111919824389
Baltimore,LA Rams,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Philadelphia,Buffalo,Kansas City,New England,Miami,Minnesota,Dallas,Denver,San Francisco,Indianapolis,Tennessee,-4.498119582684323
Indianapolis,San Francisco,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Denver,Dallas,Cincinnati,Kansas City,New England,Miami,LA Rams,Buffalo,New Orleans,Baltimore,Washington,Minnesota,-4.498124583450281
San Francisco,Denver,LA Chargers,Philadelphia,Tampa Bay,Indianapolis,Cincinnati,Tennessee,Green Bay,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Seattle,LA Rams,-4.498125316113148
Cincinnati,LA Rams,LA Chargers,Cleveland,Tampa Bay,Green Bay,Denver,Dallas,Philadelphia,Kansas City,New England,Miami,Minnesota,Buffalo,Carolina,Baltimore,Indianapolis,Tennessee,-4.49812585542171
Indianapolis,LA Rams,Cincinnati,Cleveland,Tampa Bay,San Francisco,Denver,Philadelphia,LA Chargers,Kansas City,New England,Miami,Green Bay,Buffalo,New Orleans,Tennessee,Baltimore,Dallas,-4.498201583209171
